🇨🇳央视(电信),#genre#
CCTV1,http://10.0.0.1:1234/rtp/238.255.3.67:5999
CCTV1,http://10.0.0.1:1234/rtp/238.255.0.113:4152
CCTV1,http://10.0.0.1:1234/rtp/238.255.2.91:5999
CCTV1,http://10.0.0.1:1234/rtp/238.255.3.132:5999
CCTV1,http://10.0.0.1:1234/rtp/238.255.3.35:5999
CCTV2,http://10.0.0.1:1234/rtp/238.255.2.11:5999
CCTV2,http://10.0.0.1:1234/rtp/238.255.3.10:5999
CCTV2,http://10.0.0.1:1234/rtp/238.255.3.133:5999
CCTV3,http://10.0.0.1:1234/rtp/238.255.2.133:5999
CCTV3,http://10.0.0.1:1234/rtp/238.255.3.134:5999
CCTV4,http://10.0.0.1:1234/rtp/238.255.2.139:5999
CCTV4,http://10.0.0.1:1234/rtp/238.255.2.92:5999
CCTV4,http://10.0.0.1:1234/rtp/238.255.3.105:5999
CCTV4,http://10.0.0.1:1234/rtp/238.255.3.11:5999
CCTV4,http://10.0.0.1:1234/rtp/238.255.3.135:5999
CCTV4K,http://10.0.0.1:1234/rtp/238.255.3.105:5999
CCTV4美洲,http://10.0.0.1:1234/rtp/238.255.2.214:5999
CCTV4美洲,http://10.0.0.1:1234/rtp/238.255.3.129:5999
CCTV4欧洲,http://10.0.0.1:1234/rtp/238.255.2.213:5999
CCTV4欧洲,http://10.0.0.1:1234/rtp/238.255.3.128:5999
CCTV5,http://10.0.0.1:1234/rtp/238.255.2.134:5999
CCTV5,http://10.0.0.1:1234/rtp/238.255.3.136:5999
CCTV5+,http://10.0.0.1:1234/rtp/238.255.2.185:5999
CCTV5+,http://10.0.0.1:1234/rtp/238.255.3.148:5999
CCTV6,http://10.0.0.1:1234/rtp/238.255.2.135:5999
CCTV6,http://10.0.0.1:1234/rtp/238.255.3.137:5999
CCTV6,http://10.0.0.1:1234/rtp/238.255.3.138:5999
CCTV7,http://10.0.0.1:1234/rtp/238.255.2.12:5999
CCTV7,http://10.0.0.1:1234/rtp/238.255.3.12:5999
CCTV8,http://10.0.0.1:1234/rtp/238.255.2.136:5999
CCTV8,http://10.0.0.1:1234/rtp/238.255.3.139:5999
CCTV9,http://10.0.0.1:1234/rtp/238.255.2.155:5999
CCTV9,http://10.0.0.1:1234/rtp/238.255.3.13:5999
CCTV9,http://10.0.0.1:1234/rtp/238.255.3.140:5999
CCTV10,http://10.0.0.1:1234/rtp/238.255.2.13:5999
CCTV10,http://10.0.0.1:1234/rtp/238.255.3.141:5999
CCTV10,http://10.0.0.1:1234/rtp/238.255.3.68:5999
CCTV11,http://10.0.0.1:1234/rtp/238.255.2.14:5999
CCTV11,http://10.0.0.1:1234/rtp/238.255.3.142:5999
CCTV11,http://10.0.0.1:1234/rtp/238.255.3.15:5999
CCTV12,http://10.0.0.1:1234/rtp/238.255.2.15:5999
CCTV12,http://10.0.0.1:1234/rtp/238.255.3.143:5999
CCTV12,http://10.0.0.1:1234/rtp/238.255.3.16:5999
CCTV13,http://10.0.0.1:1234/rtp/238.255.0.37:9032
CCTV13,http://10.0.0.1:1234/rtp/238.255.2.16:5999
CCTV13,http://10.0.0.1:1234/rtp/238.255.3.144:5999
CCTV13,http://10.0.0.1:1234/rtp/238.255.3.17:5999
CCTV14,http://10.0.0.1:1234/rtp/238.255.2.17:5999
CCTV14,http://10.0.0.1:1234/rtp/238.255.3.145:5999
CCTV14,http://10.0.0.1:1234/rtp/238.255.3.69:5999
CCTV15,http://10.0.0.1:1234/rtp/238.255.2.18:5999
CCTV15,http://10.0.0.1:1234/rtp/238.255.3.146:5999
CCTV15,http://10.0.0.1:1234/rtp/238.255.3.19:5999
CCTV16,http://10.0.0.1:1234/rtp/238.255.2.110:5999
CCTV16,http://10.0.0.1:1234/rtp/238.255.2.145:5999
CCTV16,http://10.0.0.1:1234/rtp/238.255.2.217:5999
CCTV16,http://10.0.0.1:1234/rtp/238.255.3.110:5999
CCTV17,http://10.0.0.1:1234/rtp/238.255.2.137:5999
CCTV17,http://10.0.0.1:1234/rtp/238.255.3.147:5999

🔢️数字(电信),#genre#
CCTV兵器科技,http://10.0.0.1:1234/rtp/238.255.2.34:5999
CCTV兵器科技,http://10.0.0.1:1234/rtp/238.255.3.235:5999
CCTV第一剧场,http://10.0.0.1:1234/rtp/238.255.2.25:5999
CCTV第一剧场,http://10.0.0.1:1234/rtp/238.255.3.228:5999
CCTV电视指南,http://10.0.0.1:1234/rtp/238.255.3.43:5999
CCTV电视指南,http://10.0.0.1:1234/rtp/238.255.3.44:5999
CCTV发现之旅,http://10.0.0.1:1234/rtp/238.255.2.184:5999
CCTV发现之旅,http://10.0.0.1:1234/rtp/238.255.3.205:5999
CCTV风云剧场,http://10.0.0.1:1234/rtp/238.255.2.28:5999
CCTV风云剧场,http://10.0.0.1:1234/rtp/238.255.3.231:5999
CCTV风云音乐,http://10.0.0.1:1234/rtp/238.255.2.24:5999
CCTV风云音乐,http://10.0.0.1:1234/rtp/238.255.3.227:5999
CCTV风云足球,http://10.0.0.1:1234/rtp/238.255.2.29:5999
CCTV风云足球,http://10.0.0.1:1234/rtp/238.255.3.232:5999
CCTV高尔夫网球,http://10.0.0.1:1234/rtp/238.255.2.223:5999
CCTV高尔夫网球,http://10.0.0.1:1234/rtp/238.255.3.42:5999
CCTV怀旧剧场,http://10.0.0.1:1234/rtp/238.255.2.33:5999
CCTV怀旧剧场,http://10.0.0.1:1234/rtp/238.255.3.234:5999
CCTV老故事,http://10.0.0.1:1234/rtp/238.255.2.35:5999
CCTV老故事,http://10.0.0.1:1234/rtp/238.255.3.236:5999
CCTV女性时尚,http://10.0.0.1:1234/rtp/238.255.2.27:5999
CCTV女性时尚,http://10.0.0.1:1234/rtp/238.255.3.230:5999
CCTV世界地理,http://10.0.0.1:1234/rtp/238.255.2.26:5999
CCTV世界地理,http://10.0.0.1:1234/rtp/238.255.3.229:5999
CCTV卫生健康,http://10.0.0.1:1234/rtp/238.255.2.144:5999
CCTV卫生健康,http://10.0.0.1:1234/rtp/238.255.3.109:5999
CCTV卫生健康,http://10.0.0.1:1234/rtp/238.255.3.109:5999
CCTV文化精品,http://10.0.0.1:1234/rtp/238.255.2.32:5999
CCTV文化精品,http://10.0.0.1:1234/rtp/238.255.3.233:5999
CCTV央视购物,http://10.0.0.1:1234/rtp/238.255.3.9:5999
CCTV央视台球,http://10.0.0.1:1234/rtp/238.255.2.224:5999
CCTV央视台球,http://10.0.0.1:1234/rtp/238.255.3.60:5999
CCTV中学生,http://10.0.0.1:1234/rtp/238.255.2.181:5999
CCTV中学生,http://10.0.0.1:1234/rtp/238.255.3.7:5999
CETV早期教育,http://10.0.0.1:1234/rtp/238.255.2.143:5999
CETV早期教育,http://10.0.0.1:1234/rtp/238.255.3.108:5999
CETV早期教育,http://10.0.0.1:1234/rtp/238.255.3.108:5999
CETV1,http://10.0.0.1:1234/rtp/238.255.2.105:5999
CETV1,http://10.0.0.1:1234/rtp/238.255.3.224:5999
CETV1,http://10.0.0.1:1234/rtp/238.255.3.87:5999
CETV2,http://10.0.0.1:1234/rtp/238.255.2.221:5999
CETV2,http://10.0.0.1:1234/rtp/238.255.3.36:5999
CETV2,http://10.0.0.1:1234/rtp/238.255.3.65:5999
CETV4,http://10.0.0.1:1234/rtp/238.255.2.222:5999
CETV4,http://10.0.0.1:1234/rtp/238.255.3.38:5999
CETV4,http://10.0.0.1:1234/rtp/238.255.3.66:5999
CGTN,http://10.0.0.1:1234/rtp/238.255.2.178:5999
CGTN,http://10.0.0.1:1234/rtp/238.255.2.207:5999
CGTN,http://10.0.0.1:1234/rtp/238.255.3.20:5999
CGTN,http://10.0.0.1:1234/rtp/238.255.3.113:5999
CGTN,http://10.0.0.1:1234/rtp/238.255.3.122:5999
CGTN阿语,http://10.0.0.1:1234/rtp/238.255.2.211:5999
CGTN阿语,http://10.0.0.1:1234/rtp/238.255.3.126:5999
CGTN俄语,http://10.0.0.1:1234/rtp/238.255.2.210:5999
CGTN俄语,http://10.0.0.1:1234/rtp/238.255.3.125:5999
CGTN法语,http://10.0.0.1:1234/rtp/238.255.2.208:5999
CGTN法语,http://10.0.0.1:1234/rtp/238.255.2.83:5999
CGTN法语,http://10.0.0.1:1234/rtp/238.255.3.123:5999
CGTN纪录,http://10.0.0.1:1234/rtp/238.255.2.172:5999
CGTN纪录,http://10.0.0.1:1234/rtp/238.255.2.212:5999
CGTN纪实,http://10.0.0.1:1234/rtp/238.255.3.127:5999
CGTN西语,http://10.0.0.1:1234/rtp/238.255.2.209:5999
CGTN西语,http://10.0.0.1:1234/rtp/238.255.3.124:5999

❄️贵州(电信),#genre#
贵州卫视,http://10.0.0.1:1234/rtp/238.255.2.1:5999
贵州公共,http://10.0.0.1:1234/rtp/238.255.3.151:5999
贵州公共,http://10.0.0.1:1234/rtp/238.255.2.2:5999
贵州经济,http://10.0.0.1:1234/rtp/238.255.3.156:5999
贵州经济,http://10.0.0.1:1234/rtp/238.255.2.9:5999
贵州法制,http://10.0.0.1:1234/rtp/238.255.3.154:5999
贵州法制,http://10.0.0.1:1234/rtp/238.255.2.5:5999
贵州大众生活,http://10.0.0.1:1234/rtp/238.255.3.153:5999
贵州大众生活,http://10.0.0.1:1234/rtp/238.255.2.4:5999
贵州科教健康,http://10.0.0.1:1234/rtp/238.255.3.155:5999
贵州科教健康,http://10.0.0.1:1234/rtp/238.255.2.6:5999
贵州影视文艺,http://10.0.0.1:1234/rtp/238.255.3.152:5999
贵州影视文艺,http://10.0.0.1:1234/rtp/238.255.2.3:5999
贵州影视文艺,http://10.0.0.1:1234/rtp/238.255.2.200:5999
贵州影视文艺,http://10.0.0.1:1234/rtp/238.255.2.187:5999
贵州影视文艺,http://10.0.0.1:1234/rtp/238.255.2.183:5999
贵州移动电视,http://10.0.0.1:1234/rtp/238.255.3.149:5999
贵州移动电视,http://10.0.0.1:1234/rtp/238.255.2.117:5999
贵阳综合,http://10.0.0.1:1234/rtp/238.255.3.198:5999
贵阳综合,http://10.0.0.1:1234/rtp/238.255.2.19:5999
贵阳公共,http://10.0.0.1:1234/rtp/238.255.3.199:5999
贵阳公共,http://10.0.0.1:1234/rtp/238.255.2.20:5999
贵阳生活,http://10.0.0.1:1234/rtp/238.255.2.22:5999
贵阳影视文艺,http://10.0.0.1:1234/rtp/238.255.3.201:5999
贵阳影视文艺,http://10.0.0.1:1234/rtp/238.255.2.22:5999
遵义综合,http://10.0.0.1:1234/rtp/238.255.3.206:5999
遵义综合,http://10.0.0.1:1234/rtp/238.255.2.153:5999
遵义公共,http://10.0.0.1:1234/rtp/238.255.3.207:5999
遵义公共,http://10.0.0.1:1234/rtp/238.255.2.152:5999
遵义都市,http://10.0.0.1:1234/rtp/238.255.3.208:5999
遵义都市,http://10.0.0.1:1234/rtp/238.255.2.154:5999
瓮安综合,http://10.0.0.1:1234/rtp/238.255.3.131:5999
瓮安综合,http://10.0.0.1:1234/rtp/238.255.2.216:5999
瓮安综合,http://10.0.0.1:1234/rtp/238.255.2.201:5999
铜仁1,http://10.0.0.1:1234/rtp/238.255.3.217:5999
铜仁1,http://10.0.0.1:1234/rtp/238.255.2.31:5999
铜仁2,http://10.0.0.1:1234/rtp/238.255.3.218:5999
铜仁2,http://10.0.0.1:1234/rtp/238.255.2.87:5999
桐梓综合,http://10.0.0.1:1234/rtp/238.255.3.223:5999
桐梓综合,http://10.0.0.1:1234/rtp/238.255.2.162:5999
思南综合,http://10.0.0.1:1234/rtp/238.255.3.14:5999
思南综合,http://10.0.0.1:1234/rtp/238.255.2.218:5999
黔西综合,http://10.0.0.1:1234/rtp/238.255.3.222:5999
黔西综合,http://10.0.0.1:1234/rtp/238.255.2.161:5999
黔西南综合,http://10.0.0.1:1234/rtp/238.255.2.126:5999
黔西南综合,http://10.0.0.1:1234/rtp/238.255.3.209:5999
黔西南公共,http://10.0.0.1:1234/rtp/238.255.2.127:5999
黔西南公共,http://10.0.0.1:1234/rtp/238.255.3.210:5999
黔南1,http://10.0.0.1:1234/rtp/238.255.3.213:5999
黔南1,http://10.0.0.1:1234/rtp/238.255.2.150:5999
黔南2,http://10.0.0.1:1234/rtp/238.255.3.214:5999
黔南2,http://10.0.0.1:1234/rtp/238.255.2.151:5999
黔东南1,http://10.0.0.1:1234/rtp/238.255.3.219:5999
黔东南1,http://10.0.0.1:1234/rtp/238.255.2.179:5999
六盘水1,http://10.0.0.1:1234/rtp/238.255.3.202:5999
六盘水1,http://10.0.0.1:1234/rtp/238.255.2.115:5999
六盘水2,http://10.0.0.1:1234/rtp/238.255.3.203:5999
六盘水2,http://10.0.0.1:1234/rtp/238.255.2.116:5999
雷山综合,http://10.0.0.1:1234/rtp/238.255.3.221:5999
雷山综合,http://10.0.0.1:1234/rtp/238.255.2.128:5999
凯里综合,http://10.0.0.1:1234/rtp/238.255.2.180:5999
凯里综合,http://10.0.0.1:1234/rtp/238.255.3.220:5999
贵州人文,http://10.0.0.1:1234/rtp/238.255.3.197:5999
贵州人文,http://10.0.0.1:1234/rtp/238.255.3.106:5999
贵州旅游,http://10.0.0.1:1234/rtp/238.255.2.219:5999
贵州旅游,http://10.0.0.1:1234/rtp/238.255.2.217:5999
贵州旅游,http://10.0.0.1:1234/rtp/238.255.2.202:5999
贵州旅游,http://10.0.0.1:1234/rtp/238.255.2.163:5999
毕节1,http://10.0.0.1:1234/rtp/238.255.3.211:5999
毕节1,http://10.0.0.1:1234/rtp/238.255.2.131:5999
毕节2,http://10.0.0.1:1234/rtp/238.255.3.212:5999
毕节2,http://10.0.0.1:1234/rtp/238.255.2.132:5999
安顺综合,http://10.0.0.1:1234/rtp/238.255.3.215:5999
